Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-73.7101232566433,83,0.9950195566196387,0.000994896213044336,0.0,0.21686746987951808,0.2891566265060241,0.3132530120481928,0.18072289156626506
1,-104.11986158564338,95,0.9900639180555424,0.0009898184747299606,0.0,0.28421052631578947,0.24210526315789474,0.2,0.2736842105263158
2,-89.69731525497924,85,0.9851329607687281,0.0009847666521101584,0.0,0.2823529411764706,0.27058823529411763,0.15294117647058825,0.29411764705882354
3,-107.66582204421474,128,0.9802265618354918,0.0009797406129167456,0.0,0.2421875,0.21875,0.25,0.2890625
4,-3.2292485035073355,113,0.975344598944344,0.0009747402255566067,0.0,0.2831858407079646,0.17699115044247787,0.30973451327433627,0.23008849557522124
5,-121.08026148899887,79,0.9704869503929605,0.0009697653591082497,0.0,0.20253164556962025,0.26582278481012656,0.25316455696202533,0.27848101265822783
6,4.802615589760606,130,0.9656534950851489,0.000964815883318378,0.0,0.25384615384615383,0.24615384615384617,0.24615384615384617,0.25384615384615383
7,-117.94965787603189,130,0.9608441125278293,0.0009598916685984801,0.0,0.23846153846153847,0.2153846153846154,0.2846153846153846,0.26153846153846155
8,-465.75122917900023,91,0.956058682828031,0.0009549925860214364,0.0,0.23076923076923078,0.23076923076923078,0.25274725274725274,0.2857142857142857
9,-112.00690114233896,60,0.9512970866899032,0.0009501185073181442,0.0,0.23333333333333334,0.38333333333333336,0.21666666666666667,0.16666666666666666
10,-367.9638758938587,80,0.9465592054117414,0.0009452693048741588,0.0,0.2125,0.225,0.35,0.2125
11,-496.8456836201142,165,0.9418449208830285,0.0009404448517263523,0.0,0.21818181818181817,0.2545454545454545,0.32727272727272727,0.2
12,-340.71214403093177,147,0.9371541155814898,0.0009356450215595899,0.0,0.19047619047619047,0.2789115646258503,0.30612244897959184,0.22448979591836735
13,-107.11532707501193,93,0.9324866725701636,0.000930869688703422,0.0,0.20430107526881722,0.3010752688172043,0.21505376344086022,0.27956989247311825
14,-129.45048573877105,99,0.9278424754944864,0.0009261187281287943,0.0,0.25252525252525254,0.2727272727272727,0.25252525252525254,0.2222222222222222
15,-137.97524624431378,83,0.9232214085793918,0.0009213920154447743,0.0,0.24096385542168675,0.3253012048192771,0.3132530120481928,0.12048192771084337
16,-170.34765364097365,115,0.9186233566264248,0.0009166894268952941,0.0,0.2956521739130435,0.16521739130434782,0.3130434782608696,0.22608695652173913
17,-442.1035569678058,112,0.9140482050108695,0.0009120108393559106,0.0,0.16071428571428573,0.25,0.3392857142857143,0.25
18,-405.13856263055396,104,0.9094958396788919,0.0009073561303305816,0.0,0.22115384615384615,0.2403846153846154,0.33653846153846156,0.20192307692307693
19,-309.1862459192507,86,0.904966147144697,0.0009027251779484585,0.0,0.29069767441860467,0.2441860465116279,0.23255813953488372,0.23255813953488372
20,-279.9700732843909,149,0.9004590144876992,0.0008981178609606956,0.0,0.2214765100671141,0.20134228187919462,0.3624161073825503,0.21476510067114093
21,-140.35790215354805,133,0.8959743293497072,0.0008935340587372753,0.0,0.19548872180451127,0.24812030075187969,0.3458646616541353,0.21052631578947367
22,-110.50737360560271,83,0.8915119799321238,0.0008889736512638504,0.0,0.20481927710843373,0.20481927710843373,0.3855421686746988,0.20481927710843373
