Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-146.94951795185952,22.596581436081593,-343.6911247719553
50,-191.62545300990354,1.5972741140900268,-480.74760774314063
100,-160.98892539824732,-82.91908873087,-203.03391510843153
150,-120.34141681042243,-49.44034359639016,-156.02079116249715
200,21.42781468001566,145.67061180842873,-48.64695747995292
250,78.033016682406,200.64821184187576,-53.53107336949373
300,160.6596244931644,248.6225101922526,53.598325351505935
350,140.47384300707802,274.95747016952794,-18.79904966185719
400,206.8297350584849,281.6899785616921,-19.43040761288303
450,208.58925066911985,294.46717459437536,-33.94951037840174
500,239.74677742054126,288.7068077139402,157.63338015731182
550,256.6494086903779,280.7150049695545,206.682512811254
600,264.23102130568935,299.8200305353133,201.02877520661028
650,239.2992675922514,310.49054600013545,58.76785589066802
700,243.70467781045915,289.4959338763836,104.0735690665234
750,252.1725188680044,296.59164457020415,135.85725835562428
800,252.58625371393617,287.44060193423036,138.0869095612561
850,257.1898634397329,293.8351545634269,173.36548854395437
900,257.8020319314236,304.7958215640487,134.45609988938122
950,248.24707414147193,292.26647901880426,159.7657044443347
