Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-677.9637574292278,-448.41344616613674,-790.855088407118
50,-685.6868210780801,-434.03415944487364,-805.8753246212354
100,-188.8666302096718,-88.91952524897326,-320.3969775250243
150,-125.06424408626629,-52.7449832749273,-193.67763189874788
200,-50.788239084228145,164.91652291591961,-115.17988224274413
250,-32.323023965434025,177.93030072487844,-123.59190310391688
300,176.8898413597294,261.6688586933317,-29.078908074336713
350,205.8562133767511,292.62055478313243,-38.793182053029916
400,174.27905229289595,282.35771921877796,-45.95000328097289
450,171.32374773906412,260.70620095967627,-64.61563670008854
500,169.1068881917019,274.24995352739995,-43.95837544670108
550,175.94516281458323,265.0612724220116,-29.277712454474912
600,184.9968679765944,259.9800707467858,-70.89126333700554
650,197.90464543197115,282.8661037387157,-33.52146805667259
700,220.24161558286042,272.95500235244515,41.82121148995086
750,219.7208803349945,290.606575240685,60.09577256080689
800,182.13443928325566,286.0037290669139,47.30504778445577
850,245.1232570776765,285.458904131768,143.48650462297144
900,244.19372719821794,291.37110714946596,127.47900712796545
950,210.539090960236,273.8305202900045,87.12878522791844
